"_id"|nombre_ws|idFuente|nombreFuente|numeroValoraciones|valoracion|valoracionMaxima
42dbd9d3-256a-4f48-95c4-b383df268e1a|Spotlight|1|movistarplus|1488|4.1|5
bb4efb8f-32a2-423c-bf0f-e4058b26d131|Emboscada|1|movistarplus|130|3.8|5
3afca17c-4fb6-4513-8ff3-5c87b0c39768|Toy Story 2|1|movistarplus|1157|4.2|5
1b8936cc-2573-4c33-8280-c590885a8072|La teoría del todo|1|movistarplus|2323|4.1|5
c95a65c9-94c5-44b3-95f7-15e733fe5afb|Psicosis|1|movistarplus|39|3.7|5
899c46aa-b5df-4cc4-ba20-c786516cb642|Mystic River|1|movistarplus|381|4.3|5
c09fd57f-bc0e-411b-a838-25eb1a4c78c3|En busca del arca perdida|1|movistarplus|55|3.9|5
6ea0bc0e-050d-439d-a7ff-77bf3e01cf24|X-Men: Días del futuro pasado|1|movistarplus|1381|4.0|5
ac557999-a6eb-495d-b1bd-51a7c0486bf7|La chaqueta metálica|1|movistarplus|185|4.4|5
da295d91-341f-4d36-8ad5-0e99a9b4ee83|Vaiana|1|movistarplus|1376|4.3|5
2c1bbf7b-1f2c-4eba-bad0-ab969972f9ea|12 años de esclavitud|1|movistarplus|1224|4.1|5
b238df8e-3618-46d5-8f81-bb3d09096236|Warcraft: El Origen|1|movistarplus|1239|3.9|5
4516c51a-bb99-4cb4-a171-db6b9f5703b2|Philadelphia|1|movistarplus|247|4.0|5
fd084f99-778e-45e6-89fb-c7bca04699f5|Star Wars: El despertar de la Fuerza|1|movistarplus|3532|4.1|5
fffdd369-62de-4d07-9484-a58c3a6a7d38|El libro de la selva|1|movistarplus|1641|4.0|5
97fbfeb6-7dfb-4469-848e-18b63371d5f3|Matrix|1|movistarplus|1413|4.4|5
a90fd55d-4c51-434f-969c-16787840b5c9|Dallas Buyers Club|1|movistarplus|1674|4.4|5
5ef2b08d-1501-498b-9a4e-ab25a5bbd5ae|Capitán Phillips|1|movistarplus|631|3.8|5
ebea1897-75a5-4e1e-b1fe-53fc12b60ad5|El truco final (El prestigio)|1|movistarplus|290|3.7|5
6edd80b0-5cf0-4c87-a541-cb3915182c0f|Creed. La leyenda de Rocky|1|movistarplus|157|4.3|5
0f225302-fd2d-4a3e-9584-b0082f3e8f7e|Enredados|1|movistarplus|855|4.3|5
d61666aa-e03a-46c2-9d0e-ccc025984f33|El nombre de la rosa|1|movistarplus|245|4.6|5
f82759d3-3229-4128-8c2e-55a98b72a5e5|Kill Bill: Volumen 2|1|movistarplus|133|3.7|5
9d71e228-b0a5-4681-9326-1e0bbb508174|Grease|1|movistarplus|527|4.4|5
07efe475-8260-4080-a756-5fe912034a4e|Charlie y la fábrica de chocolate|1|movistarplus|892|4.1|5
bc801ab2-44f4-40bc-ad02-aa7a125ee14b|El origen de los guardianes|1|movistarplus|162|4.0|5
1c71d9d8-c36d-4a20-971e-18bc322a6c1f|Argo|1|movistarplus|173|3.7|5
90806b83-21f4-45be-a6cb-94becac3000f|Lo Imposible|1|movistarplus|517|3.6|5
186404c3-99ae-4aff-8bfe-e4166375132e|Sin perdón|1|movistarplus|423|4.4|5
04f9ffce-76c8-4a32-a886-bb520418c350|La leyenda del jinete sin cabeza|1|movistarplus|340|3.9|5
547a7a1a-26a5-451b-9ee0-3c67c5b42b6e|Soy leyenda|1|movistarplus|1587|4.2|5
6c2bee60-b115-4527-b72c-828967704a0c|Fast & Furious 7 (A todo gas 7)|1|movistarplus|2178|4.1|5
fc13db41-bf78-45fd-86fb-d57e9b51899b|La historia interminable|1|movistarplus|390|4.3|5
dd784fde-380d-4fa7-a5ec-dcdc7331a78d|Capitán América: El soldado de invierno|1|movistarplus|1776|3.8|5
bcf7cf4c-2884-477f-a4bb-35f4db5a65dc|Harry Potter y las Reliquias de la Muerte - Parte I|1|movistarplus|5|4.2|5
