DblLatitud|DblLongitud|DblPrecio|DtmFechaConsulta|DtmFechaExtraccion|IntAdultos|IntCategoria|IntDuracion|IntIdFuente|IntIdLocalidad|IntNinos|StrAlojamiento|StrEmpresa|StrFuente|StrLocalidad|StrNombreHotel|StrTipoHabitacion|_id
40.41657|-3.69097|244.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Petit Palace Lealtad Plaza|Standard Room Interior View|5bfc4f56f44f319b3ffe546e
40.4552|-3.5852|184.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|5|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hilton Madrid Airport Hotel|Standard Room|5bfc4f56f44f319b3ffe546f
40.4312|-3.6874|296.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Serrano|Room|5bfc4f56f44f319b3ffe5470
40.4528|-3.6134|149.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Osuna Feria Madrid|Standard Room|5bfc4f56f44f319b3ffe5471
40.4297|-3.6711|190.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hostal Salamanca|Superior Room|5bfc4f56f44f319b3ffe5472
40.467423|-3.688421|308.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Via Castellana|Standard Room|5bfc4f56f44f319b3ffe5473
40.4645|-3.7848|188.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Ac Aravaca Hotel|Standard Room|5bfc4f56f44f319b3ffe5474
40.4133|-3.7011|238.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|2|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Castilla I|Twin Room|5bfc4f56f44f319b3ffe5475
40.4896|-3.6877|161.45|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Villamadrid Hotel|Standard Double Or Twin Room|5bfc4f56f44f319b3ffe5476
40.4908|-3.6703|174.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Exe Madrid Norte|Standard Room|5bfc4f56f44f319b3ffe5477
40.4478|-3.6283|205.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Melia Avenida America Hotel|Melia Room|5bfc4f56f44f319b3ffe5478
40.4694|-3.6861|272.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Hotel Weare Chamartin|Standard Room|5bfc4f56f44f319b3ffe5479
40.4558|-3.682|207.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Nh La Habana Hotel|Standard Room|5bfc4f56f44f319b3ffe547a
40.46138|-3.69196|234.0|2018-12-13T23:00:00.000Z|2018-11-26T23:00:00.000Z|2|4|2|3|1|0|SA|Travelrepublic|Travelrepublic|Madrid|Melia Castilla Hotel|Classic Room|5bfc4f56f44f319b3ffe547b
